Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2020,NJ,New Jersey,Cape May,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,49.4,,,41.0,57.7,95661,34009,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-74.8463541 39.0858411),2449
2021,NJ,New Jersey,Cape May,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.6,,,3.0,4.3,95661,34009,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-74.8463541 39.0858411),2449
2021,NJ,New Jersey,Passaic,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,6.3,,,5.5,7.2,518117,34031,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Morris,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,88.6,,,86.2,90.6,510981,34027,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Mercer,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.7,,,2.4,2.9,385898,34021,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Hudson,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,88,,,85.8,90.1,702463,34017,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Atlantic,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,29.7,,,25.7,34.1,274966,34001,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Camden,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,15.4,,,12.2,18.7,523771,34007,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Mercer,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,13.5,,,10.6,16.4,385898,34021,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Monmouth,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.4,,,3.8,5.1,645354,34025,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-74.1524456 40.2870481),2491
2020,NJ,New Jersey,Ocean,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,84,,,81.5,86.4,648998,34029,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Essex,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,8.9,11.2,854917,34013,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Essex,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,12.2,,,10.4,14.1,854917,34013,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-74.2462919 40.7874003),2486
2020,NJ,New Jersey,Salem,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,31.6,,,25.4,38.0,65046,34033,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-75.3573559 39.5738282),2494
2021,NJ,New Jersey,Warren,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.3,,,5.0,7.7,110731,34041,HLTHOUT,COPD,CrdPrv,COPD,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Essex,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,13.7,,,11.8,15.6,854917,34013,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Essex,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,27.5,,,23.9,31.1,854917,34013,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Passaic,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,13.1,,,11.4,15.0,518117,34031,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Camden,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.2,,,6.1,8.4,523771,34007,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-74.9612493 39.8024071),2448
2020,NJ,New Jersey,Camden,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.4,,,7.2,14.1,523771,34007,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Burlington,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.5,,,4.7,6.2,464269,34005,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-74.6630063 39.8757858),2447
2021,NJ,New Jersey,Monmouth,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.4,,,2.2,2.7,645354,34025,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Camden,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6,,,5.4,6.6,523771,34007,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Burlington,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,79.4,,,76.3,82.2,464269,34005,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-74.6630063 39.8757858),2447
2020,NJ,New Jersey,Cumberland,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,72.1,,,68.7,75.1,153627,34011,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-75.1216277 39.3284336),2485
2020,NJ,New Jersey,Somerset,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,6.2,,,3.8,9.4,345647,34035,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-74.6199378 40.5655273),490
2020,NJ,New Jersey,Gloucester,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,74.1,,,70.4,77.7,304477,34015,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Ocean,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,10.8,,,8.2,13.6,648998,34029,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Ocean,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,37.6,,,33.9,41.3,648998,34029,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Hudson,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.3,,,9.8,14.9,702463,34017,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Atlantic,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,35,,,29.8,40.8,274966,34001,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Atlantic,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,13.4,,,10.8,15.9,274966,34001,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Monmouth,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,27.2,,,22.9,31.8,645354,34025,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Mercer,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,5.3,,,4.6,6.1,385898,34021,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Atlantic,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.5,6.7,274966,34001,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Hudson,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.5,,,2.3,2.8,702463,34017,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-74.0786014 40.7313751),488
2020,NJ,New Jersey,Gloucester,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.2,,,5.5,11.5,304477,34015,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Hudson,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.5,7.7,702463,34017,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.2,,,1.9,2.5,953819,34003,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-74.0747272 40.9596985),487
2020,NJ,New Jersey,Hunterdon,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,74.4,,,69.7,78.3,129924,34019,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Hunterdon,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,6.9,,,5.7,8.2,129924,34019,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Essex,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.7,,,6.6,8.9,854917,34013,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Bergen,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,11.9,,,10.1,13.9,953819,34003,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-74.0747272 40.9596985),487
